compounds,name,maxFlux
cpd09429,3-Hexaprenyl-4-hydroxybenzoate,100
cpd09832,Equol,100
cpd09878,Sulfoacetate,100
cpd10408,Isobutyl alcohol,100
cpd10515,Fe2+,100
cpd10516,Fe3+,100
cpd10719,D-Carnitine,100
cpd11193,benzylacetate,100
cpd11225,3-4-dihydroxy-2-butanone4-phosphate,100
cpd11422,"1,2-diacyl-sn-glycerol 3-phosphate",100
cpd11451,Menaquinol 7,100
cpd11455,ps_BS,100
cpd11456,Phosphatidylethanolamine,100
cpd11464,Butyryl-ACP,100
cpd11466,Myristoyl-ACP,100
cpd11468,Dodecanoyl-ACP,100
cpd11470,Octanoyl-ACP,100
cpd11472,Hexanoyl-ACP,100
cpd11474,Decanoyl-ACP,100
cpd11476,hexadecanoyl-acp,100
cpd11494,Acetyl-ACP,100
cpd11573,Octodecanoyl-ACP,100
cpd11574,Molybdate,100
cpd11576,L-methionine R-oxide,100
cpd11577,Lanthionine,100
cpd11578,hexanesulfonate,100
cpd11579,ethanesulfonate,100
cpd11580,Gly-Gln,100
cpd11581,gly-asn-L,100
cpd11582,ala-L-Thr-L,100
cpd11583,Ala-Leu,100
cpd11584,Ala-His,100
cpd11585,L-alanylglycine,100
cpd11586,ala-L-glu-L,100
cpd11587,Ala-Gln,100
cpd11588,gly-pro-L,100
cpd11589,gly-asp-L,100
cpd11590,met-L-ala-L,100
cpd11591,Gly-Met,100
cpd11592,gly-glu-L,100
cpd11593,ala-L-asp-L,100
cpd11594,Dextrin,100
cpd11595,chromate,100
cpd11596,butanesulfonate,100
cpd11597,ARSENOBETAINE,100
cpd11602,Inulin,100
cpd11606,Menaquinone 7,100
cpd11608,Peptide,100
cpd11611,Acyl-CoA,100
cpd11618,DPEP,100
cpd11619,Dolichyl phosphate,100
cpd11632,Photon,100
cpd11640,Hydrogen,100
cpd11646,TPEP,100
cpd11665,QH2,100
cpd11669,Q,100
cpd11670,Chondroitin,100
cpd11717,Chondroitin 6-sulfate,100
cpd11735,Amylose,100
cpd11746,Cellulose,100
cpd11822,1-Phosphatidyl-myo-inositol,100
cpd11825,Octadecenoyl-ACP,100
cpd11842,"N-Acetyl-beta-D-glucosaminyl-1,3-N-acetyl-D-galactosaminyl-R",100
cpd11919,tRNA(Phe),100
cpd11920,tRNA(Pro),100
cpd11976,Maltodextrin,100
cpd12164,L-Prolyl-tRNA(Pro),100
cpd12335,L-Phenylalanyl-tRNA(Phe),100
cpd12407,Dolichyl phosphate D-mannose,100
cpd12458,Stearoyl-[acyl-carrier protein],100
cpd12777,Galactan,100
cpd14514,Episterol,100
cpd14659,L-Galactonate,100
cpd15139,Isoleucine,100
cpd15141,Valine,100
cpd15142,Asparagine,100
cpd15143,Leucine,100
cpd15198,2-Octaprenyl-6-hydroxyphenol (5 repeating units),100
cpd15202,2-Octaprenyl-6-methoxyphenol (5 repeating units),100
cpd15208,3-Octaprenyl-4-hydroxybenzoate (5 repeating units),100
cpd15220,Ceramide-1 Sphinganine:n-C24:0),100
cpd15221,Ceramide-1 Sphinganine:n-C26:0),100
cpd15224,Ceramide-2 Phytosphingosine:n-C24:0),100
cpd15225,Ceramide-2 Phytosphingosine:n-C26:0),100
cpd15237,hexadecenoate,100
cpd15238,Hexadecenoyl-CoA,100
cpd15239,Hexadecenoyl-ACP,100
cpd15240,hexacosanoate,100
cpd15241,Hexacosanoyl-CoA,100
cpd15268,Octadecanoyl-ACP,100
cpd15269,octadecenoate,100
cpd15270,octadecynoate,100
cpd15272,Octadecynoyl-CoA,100
cpd15274,Octadecenoyl-CoA,100
cpd15277,Palmitoyl-ACP,100
cpd15283,Phytosphingosine 1-phosphate,100
cpd15290,Ubiquinone-6,100
cpd15291,Ubiquinol-6,100
cpd15294,Tetradecenoyl-ACP,100
cpd15295,Tetradecenoyl-CoA,100
cpd15297,Lignoceroyl-CoA,100
cpd15298,tetradecenoate,100
cpd15306,"1,2-Diacyl-sn-glycerol didodecanoyl",100
cpd15307,"1,2-Diacyl-sn-glycerol ditetradecanoyl",100
cpd15308,"1,2-Diacyl-sn-glycerol ditetradec-7-enoyl",100
cpd15309,"1,2-Diacyl-sn-glycerol dihexadecanoyl",100
cpd15310,"1,2-Diacyl-sn-glycerol dihexadec-9-enoyl",100
cpd15311,"1,2-Diacyl-sn-glycerol dioctadecanoyl",100
cpd15312,"1,2-Diacyl-sn-glycerol dioctadec-11-enoyl",100
